County,City,Date,Time (Local),Event Name,Location,Group,"Type (protest, town hall, ect.)",Notes/Info
Adams,Decatur,2nd Tuesday of Month,6:30pm,Adams County Democratic Monthly Meeting,Adams Public Library - Decatur Branch,Adams County Indiana Democratic Party,meeting,Monthly meeting
Adams ,Decatur ,Every Wednesday ,5-6 PM,We Walk Wednesdays ,112 S 2nd St Suite B,Adams County Democrats,Protest ,
Adams,Decatur,5/1/25,5-7 PM,May Day Strong: We are the Many,Adams County Courthouse Lawn,,Protest,
Adams,Decatur,5/13/25,6:30 PM,Adams County Democrats Monthly Meeting & food drive,APLS - 128 S 3rd St,Adams County Democrats,Meeting & food drive,
Allen,Fort Wayne,Mondays,11 AM - 1 PM,Moral Mondays,Outside Allen County Republican HQ - 135 W Main St,,,Join members of the clergy to draw attention to Republican complicity with Trumpism
Allen,Fort Wayne,Tuesdays,5-6 PM,Protest Tuesdays!,Allen County Courthouse,ICMEP,Protest,Repeats every Tuesday!
Allen,Fort Wayne,Wednesdays,6-8 PM,Democratic Women's Club of Allen Co Meeting,900 Library Plz,Democratic Womens Club of Allen County,Meeting,
Allen,Fort Wayne,Every Friday,5:30 PM,Weekly Protest! (Repeats every Friday),Allen County Courthouse,Northeast Indiana NOW,Protest,Repeats every Friday!
Allen,Fort Wayne,5/17/2025,1-3:30 PM,Freedom Fest,"Allen County Public Library, Room C - 900 Library Plaza",Indivisible Northeast Indiana,Democracy fair,
Allen,Fort Wayne,5/24/25,10:00 AM,"Allen county democrats breakfast meeting, speaker mayor sharon tucker",Allen county public library,Allen county democrats,Meeting,
Allen,Fort Wayne,6/14/25,2-5 PM,No Kings - Reclaim it Ft Wayne protest & hygiene drive,Allen county courthouse,Indivisible northeast Indiana,"Protest, hygiene drive",https://www.mobilize.us/mobilize/event/784710/?share_medium=native_share&share_context=event_detail_page&force_banner=true
Allen,Fort Wayne,6/14/25,2-6 PM,Kick out the clowns: end the greatest shit show on earth,Allen county courthouse - 715 s calhoun st,Northeast Indiana NOW,Protest,https://action.womensmarch.com/events/your-city-kick-out-the-clowns-end-the-greatest-shit-show-on-earth-9
Allen,Fort Wayne,8/9/25,12-2 PM,Hoosier voices tour: town hall w/ Indiana black legislative caucus,Allen county public library - main branch- theater,,Town hall,
Bartholomew,Columbus,2nd Thursday of Month,7pm,Bartholomew County Indiana Democrats Meeting,"1417 Chestnut Street, Columbus",Bartholomew County Indiana Democrats,Meeting,
Bartholomew,Columbus,6/14/25,TBD,No Kings - Nationwide Day of Defiance,TBD,"Rise up columbus, columbus community united",Protest,
Blackford,Muncie,4th Wednesday of month,7pm,Blackford County Democrats Meeting,Muncie City Building,Blackford County Democrats,Meeting,
Boone,Zionsville ,3rd Wednesday of month,6:30pm,Boone County Democrats Meeting,Location varies month to month,Boone County Democrats ,meeting,Location varies from month to month.  Please check website for the location of this month's meeting.   https://www.bcdemocrats.com/calendar.html
Brown,Nashville,Fourth Tuesday of month ,6:30pm,Brown County Indiana Democrats Meeting,"209 N. Van Buren St, Nashville",Brown County Indiana Democrats,Meeting,
Brown,Nashville,5/3/25,10:00 AM - 12:30 PM,2025 Spring Blossom Parade March - marching in parade!,Meet @ Brown County High School,Brown County Indivisible,March in parade,https://www.mobilize.us/browncountyindianaindivisible/event/775491/?force_banner=true&share_context=event_details&share_medium=copy_link
Cass,Logansport,2nd Wednesday of Month,6pm,Cass County Indiana Democrats Meeting,"Science Project Brewing Company - 611 North St, Logansport",Cass County Indiana Democrats,Meeting,
Clark,Jeffersonville,6/7/25,4-11 PM,Southern Indiana Pride,Big Four station park,,,
Clay,Brazil,Third Tuesday of Month,6:30pm,Clay County Indiana Democrats Meeting,Brazil Public Library,Clay County Indiana Democrats ,Meeting,
Daviess,Washington,First Monday of month,6:30p,Daviess County Democrat Meeting,"Ironwood Social - 908 Bedford Road, Washington",Daviess County Democrats ,Meeting,
Dearborn,Lawrenceburg,5/17/25,10 AM - 12 PM,May support group: allyship,150 Mary st,Dearborn County Pride,Meeting,
Dearborn,Lawrenceburg,5/22/25,6-10 PM,Town Hall & trivia w/ Councilman Liddle,Proof 124 table & tavern - 124 Short Street,IN 9th district Democratic party,,
DeKalb,Auburn,5/8/25,6:30pm,DeKalb County Indiana Democrats,"1800 E. 7th St, Auburn",DeKalb County Indiana Democrats,Meeting,
Delaware,Muncie,5/1/25,5:30-6:30 PM,May Day,Delaware County Building,Muncie resists,Protest,https://m.facebook.com/muncieresists/
Delaware,Muncie,5/2/25,12:00 PM,Board of trustees protest - Ball State University,1809 w university ave,,,
Delaware,Muncie,5/6/25,5:00 PM,United Front Meeting,Common Market - 900 W 8th St,Different Muncie Activist Groups,Meeting,
Delaware,Muncie,5/9/25,7-10 PM,Soup kitchen of muncie fundraiser,Room 5 Piano Bar,The fierce,Fundraiser,
Delaware,Muncie,5/17/25,10-11:30 AM,People's town hall w/ Karen Tallian (IN dem chair),"Patterson Block Building, 3rd floor ballroom - 108 S Walnut St",Indiana Democratic Party,Town hall,
Delaware,Muncie,5/24/25,12-2 PM,Banned book protest & food drive,Muncie city hall,,Protest & food drive,
Delaware,Muncie,6/14/25,2-9 PM,Juneteenth Celebration,McCulloch Park,,,
Dubois,Jasper,6/21/25,11:00 AM,Dubois County Pride,Jasper riverwalk,,,
Elkhart,Goshen,5/1/25,5-7 PM,May day strong rally & food drive,Elkhart county courthouse lawn,Elkhart County Democratic Party,Protest & food drive,https://facebook.com/events/s/mayday-goshen-rally-and-food-d/1713643692923674/
Floyd,New Albany,5/1/25,4-6 PM,Protest @ Sen Young's Office,3602 Northgate Ct,,Protest,
